"","bullet1","bullet2","cmps.max","cmps.maxbar","cmps.max.m","cmps.maxbar.m","type","type_truth"
"1","Br1 1","Br1 2",18,13,18,13,"KM","KM"
"2","Br1 1","Br10 1",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"3","Br1 1","Br10 2",3,2.33333333333333,3,2.33333333333333,"KNM","KNM"
"4","Br1 1","Br2 1",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"5","Br1 1","Br2 2",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"6","Br1 1","Br3 1",3,1.83333333333333,3,2,"KNM","KNM"
"7","Br1 1","Br3 2",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"8","Br1 1","Br4 1",3,2.33333333333333,3,2.33333333333333,"KNM","KNM"
"9","Br1 1","Br4 2",3,2.33333333333333,3,2.33333333333333,"KNM","KNM"
"10","Br1 1","Br5 1",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"11","Br1 1","Br5 2",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"12","Br1 1","Br6 1",3,1.66666666666667,3,1.66666666666667,"KNM","KNM"
"13","Br1 1","Br6 2",4,2.16666666666667,4,2.4,"KNM","KNM"
"14","Br1 1","Br7 1",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"15","Br1 1","Br7 2",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"16","Br1 1","Br8 1",4,2,4,2,"KNM","KNM"
"17","Br1 1","Br8 2",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"18","Br1 1","Br9 1",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"19","Br1 1","Br9 2",3,1.83333333333333,3,2,"KNM","KNM"
"20","Br1 1","Ukn B",3,2,3,2,"Ukn","KNM"
"21","Br1 1","Ukn C",19,12.5,19,12.5,"Ukn","KM"
"22","Br1 1","Ukn D",3,2,3,2,"Ukn","KNM"
"23","Br1 1","Ukn E",4,2.33333333333333,4,2.33333333333333,"Ukn","KNM"
"24","Br1 1","Ukn F",22,13.6666666666667,22,13.6666666666667,"Ukn","KM"
"25","Br1 1","Ukn H",4,2.5,4,2.5,"Ukn","KNM"
"26","Br1 1","Ukn J",3,2,3,2,"Ukn","KNM"
"27","Br1 1","Ukn L",4,2,4,2,"Ukn","KNM"
"28","Br1 1","Ukn M",3,2.16666666666667,3,2.16666666666667,"Ukn","KNM"
"29","Br1 1","Ukn Q",4,2,3,1.8,"Ukn","KNM"
"30","Br1 1","Ukn S",4,2,4,2,"Ukn","KNM"
"31","Br1 1","Ukn U",4,2.16666666666667,4,2.16666666666667,"Ukn","KNM"
"32","Br1 1","Ukn X",4,2.16666666666667,4,2.16666666666667,"Ukn","KNM"
"33","Br1 1","Ukn Y",4,1.83333333333333,4,1.83333333333333,"Ukn","KNM"
"34","Br1 1","Ukn Z",4,1.83333333333333,4,1.83333333333333,"Ukn","KNM"
"35","Br1 2","Br10 1",3,2,3,2,"KNM","KNM"
"36","Br1 2","Br10 2",4,2,4,2,"KNM","KNM"
"37","Br1 2","Br2 1",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"38","Br1 2","Br2 2",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"39","Br1 2","Br3 1",3,2.33333333333333,3,2.6,"KNM","KNM"
"40","Br1 2","Br3 2",4,1.83333333333333,4,1.83333333333333,"KNM","KNM"
"41","Br1 2","Br4 1",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"42","Br1 2","Br4 2",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"43","Br1 2","Br5 1",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"44","Br1 2","Br5 2",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"45","Br1 2","Br6 1",4,2.5,4,2.5,"KNM","KNM"
"46","Br1 2","Br6 2",3,1.83333333333333,3,1.8,"KNM","KNM"
"47","Br1 2","Br7 1",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"48","Br1 2","Br7 2",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"49","Br1 2","Br8 1",3,2,3,2,"KNM","KNM"
"50","Br1 2","Br8 2",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"51","Br1 2","Br9 1",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"52","Br1 2","Br9 2",3,1.5,3,1.8,"KNM","KNM"
"53","Br1 2","Ukn B",4,2.33333333333333,4,2.2,"Ukn","KNM"
"54","Br1 2","Ukn C",17,12,17,12,"Ukn","KM"
"55","Br1 2","Ukn D",4,2.16666666666667,4,2.16666666666667,"Ukn","KNM"
"56","Br1 2","Ukn E",3,1.83333333333333,3,1.83333333333333,"Ukn","KNM"
"57","Br1 2","Ukn F",19,11.5,19,11.5,"Ukn","KM"
"58","Br1 2","Ukn H",3,2.16666666666667,3,2.16666666666667,"Ukn","KNM"
"59","Br1 2","Ukn J",4,2.33333333333333,4,2.33333333333333,"Ukn","KNM"
"60","Br1 2","Ukn L",4,2.5,4,2.5,"Ukn","KNM"
"61","Br1 2","Ukn M",4,2.16666666666667,4,2.16666666666667,"Ukn","KNM"
"62","Br1 2","Ukn Q",3,2.16666666666667,3,2.4,"Ukn","KNM"
"63","Br1 2","Ukn S",4,2.16666666666667,4,2.16666666666667,"Ukn","KNM"
"64","Br1 2","Ukn U",4,2.16666666666667,4,2.16666666666667,"Ukn","KNM"
"65","Br1 2","Ukn X",3,2.16666666666667,3,2.16666666666667,"Ukn","KNM"
"66","Br1 2","Ukn Y",4,2.5,4,2.5,"Ukn","KNM"
"67","Br1 2","Ukn Z",3,2,3,2,"Ukn","KNM"
"68","Br10 1","Br10 2",19,9.33333333333333,19,9.33333333333333,"KM","KM"
"69","Br10 1","Br2 1",3,2,3,2,"KNM","KNM"
"70","Br10 1","Br2 2",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"71","Br10 1","Br3 1",5,2.33333333333333,5,2.8,"KNM","KNM"
"72","Br10 1","Br3 2",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"73","Br10 1","Br4 1",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"74","Br10 1","Br4 2",4,1.83333333333333,4,1.83333333333333,"KNM","KNM"
"75","Br10 1","Br5 1",5,2.33333333333333,5,2.33333333333333,"KNM","KNM"
